Border,Date,Measure,Value,Average
US-Canada Border,07/01/2008 12:00:00 AM,Rail Containers Empty,0,331
US-Mexico Border,07/01/2007 12:00:00 AM,Pedestrians,399319,434784
US-Mexico Border,07/01/2007 12:00:00 AM,Personal Vehicle Passengers,279480,383285
US-Mexico Border,07/01/2007 12:00:00 AM,Personal Vehicles,45769,94962
US-Canada Border,07/01/2007 12:00:00 AM,Personal Vehicles,11451,34478
US-Mexico Border,07/01/2007 12:00:00 AM,Trucks,5444,8381
US-Canada Border,07/01/2007 12:00:00 AM,Personal Vehicle Passengers,4631,49862
US-Mexico Border,07/01/2007 12:00:00 AM,Bus Passengers,2651,5345
US-Mexico Border,07/01/2007 12:00:00 AM,Truck Containers Full,307,2166
US-Canada Border,07/01/2007 12:00:00 AM,Buses,158,266
US-Canada Border,07/01/2007 12:00:00 AM,Trucks,2,3704
US-Canada Border,07/01/2007 12:00:00 AM,Truck Containers Full,0,3062
US-Mexico Border,07/01/2007 12:00:00 AM,Truck Containers Empty,0,1085
US-Canada Border,07/01/2007 12:00:00 AM,Truck Containers Empty,0,567
US-Mexico Border,07/01/2007 12:00:00 AM,Trains,0,6
US-Canada Border,07/01/2007 12:00:00 AM,Trains,0,18
US-Mexico Border,07/01/2007 12:00:00 AM,Train Passengers,0,11
US-Canada Border,07/01/2007 12:00:00 AM,Train Passengers,0,258
US-Mexico Border,07/01/2007 12:00:00 AM,Rail Containers Full,0,216
US-Canada Border,07/01/2007 12:00:00 AM,Rail Containers Full,0,771
US-Mexico Border,07/01/2007 12:00:00 AM,Rail Containers Empty,0,258
US-Canada Border,07/01/2007 12:00:00 AM,Rail Containers Empty,0,320
US-Canada Border,07/01/2007 12:00:00 AM,Pedestrians,0,463
US-Mexico Border,07/01/2007 12:00:00 AM,Buses,0,169
US-Canada Border,07/01/2007 12:00:00 AM,Bus Passengers,0,2828
US-Mexico Border,07/01/2006 12:00:00 AM,Pedestrians,185433,217531
US-Mexico Border,07/01/2006 12:00:00 AM,Trucks,123523,127552
US-Mexico Border,07/01/2006 12:00:00 AM,Personal Vehicle Passengers,90590,213905
US-Canada Border,07/01/2006 12:00:00 AM,Personal Vehicles,80976,107637
US-Mexico Border,07/01/2006 12:00:00 AM,Personal Vehicles,52744,111045
US-Canada Border,07/01/2006 12:00:00 AM,Personal Vehicle Passengers,9970,69286
US-Canada Border,07/01/2006 12:00:00 AM,Truck Containers Full,6947,10340
US-Canada Border,07/01/2006 12:00:00 AM,Bus Passengers,3881,6942
US-Mexico Border,07/01/2006 12:00:00 AM,Bus Passengers,2105,4766
US-Canada Border,07/01/2006 12:00:00 AM,Rail Containers Full,1776,2639
US-Canada Border,07/01/2006 12:00:00 AM,Buses,851,976
US-Mexico Border,07/01/2006 12:00:00 AM,Buses,812,1003
US-Canada Border,07/01/2006 12:00:00 AM,Truck Containers Empty,446,1066
US-Mexico Border,07/01/2006 12:00:00 AM,Truck Containers Empty,308,1409
US-Canada Border,07/01/2006 12:00:00 AM,Trucks,170,4216
US-Mexico Border,07/01/2006 12:00:00 AM,Truck Containers Full,0,1881
US-Mexico Border,07/01/2006 12:00:00 AM,Trains,0,6
US-Canada Border,07/01/2006 12:00:00 AM,Trains,0,21
US-Mexico Border,07/01/2006 12:00:00 AM,Train Passengers,0,14
US-Canada Border,07/01/2006 12:00:00 AM,Train Passengers,0,304
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Full,0,226
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Empty,0,257
US-Canada Border,07/01/2006 12:00:00 AM,Rail Containers Empty,0,337
US-Canada Border,07/01/2006 12:00:00 AM,Pedestrians,0,791
US-Canada Border,07/01/2005 12:00:00 AM,Personal Vehicles,537830,572480
US-Canada Border,07/01/2005 12:00:00 AM,Personal Vehicle Passengers,108928,176063
US-Mexico Border,07/01/2005 12:00:00 AM,Personal Vehicle Passengers,65702,209701
US-Mexico Border,07/01/2005 12:00:00 AM,Personal Vehicles,54931,123479
US-Mexico Border,07/01/2005 12:00:00 AM,Trucks,25044,28438
US-Canada Border,07/01/2005 12:00:00 AM,Trucks,9607,14127
US-Mexico Border,07/01/2005 12:00:00 AM,Pedestrians,8311,42263
US-Mexico Border,07/01/2005 12:00:00 AM,Bus Passengers,7796,11024
US-Canada Border,07/01/2005 12:00:00 AM,Rail Containers Full,1412,2446
US-Mexico Border,07/01/2005 12:00:00 AM,Truck Containers Empty,801,2001
US-Canada Border,07/01/2005 12:00:00 AM,Rail Containers Empty,595,974
US-Mexico Border,07/01/2005 12:00:00 AM,Truck Containers Full,382,2413
US-Canada Border,07/01/2005 12:00:00 AM,Trains,85,108
US-Mexico Border,07/01/2005 12:00:00 AM,Buses,23,224
US-Canada Border,07/01/2005 12:00:00 AM,Truck Containers Empty,10,675
US-Canada Border,07/01/2005 12:00:00 AM,Pedestrians,5,1022
US-Canada Border,07/01/2005 12:00:00 AM,Truck Containers Full,0,3862
US-Mexico Border,07/01/2005 12:00:00 AM,Trains,0,7
US-Mexico Border,07/01/2005 12:00:00 AM,Train Passengers,0,11
US-Canada Border,07/01/2005 12:00:00 AM,Train Passengers,0,308
US-Mexico Border,07/01/2005 12:00:00 AM,Rail Containers Full,0,216
US-Mexico Border,07/01/2005 12:00:00 AM,Rail Containers Empty,0,248
US-Canada Border,07/01/2005 12:00:00 AM,Buses,0,149
US-Canada Border,07/01/2005 12:00:00 AM,Bus Passengers,0,3641
US-Mexico Border,07/01/2004 12:00:00 AM,Personal Vehicle Passengers,92829,266653
US-Mexico Border,07/01/2004 12:00:00 AM,Personal Vehicles,57647,132867
US-Mexico Border,07/01/2004 12:00:00 AM,Pedestrians,25263,66166
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Full,10810,13157
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Empty,8137,8490
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicle Passengers,7325,81053
US-Mexico Border,07/01/2004 12:00:00 AM,Bus Passengers,1707,5110
US-Canada Border,07/01/2004 12:00:00 AM,Trucks,637,6016
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Full,561,5148
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicles,468,32563
US-Canada Border,07/01/2004 12:00:00 AM,Pedestrians,260,2087
US-Canada Border,07/01/2004 12:00:00 AM,Train Passengers,152,438
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Empty,132,1508
US-Mexico Border,07/01/2004 12:00:00 AM,Trucks,36,3631
US-Canada Border,07/01/2004 12:00:00 AM,Trains,19,46
US-Canada Border,07/01/2004 12:00:00 AM,Bus Passengers,14,4437
US-Canada Border,07/01/2004 12:00:00 AM,Buses,6,181
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Empty,4,747
US-Mexico Border,07/01/2004 12:00:00 AM,Trains,0,6
US-Mexico Border,07/01/2004 12:00:00 AM,Train Passengers,0,9
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Full,0,247
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Full,0,1128
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Empty,0,382
US-Mexico Border,07/01/2004 12:00:00 AM,Buses,0,232
US-Mexico Border,07/01/2003 12:00:00 AM,Personal Vehicle Passengers,3343490,3556873
US-Mexico Border,07/01/2003 12:00:00 AM,Personal Vehicles,617763,700418
US-Mexico Border,07/01/2003 12:00:00 AM,Bus Passengers,121279,126932
US-Canada Border,07/01/2003 12:00:00 AM,Truck Containers Full,58716,64364
US-Mexico Border,07/01/2003 12:00:00 AM,Pedestrians,11992,48414
US-Mexico Border,07/01/2003 12:00:00 AM,Truck Containers Full,3071,5484
US-Mexico Border,07/01/2003 12:00:00 AM,Truck Containers Empty,2717,4318
US-Canada Border,07/01/2003 12:00:00 AM,Personal Vehicle Passengers,2539,82659
US-Mexico Border,07/01/2003 12:00:00 AM,Trucks,2455,6144
US-Canada Border,07/01/2003 12:00:00 AM,Personal Vehicles,1426,38529
US-Canada Border,07/01/2003 12:00:00 AM,Trucks,1140,6926
US-Canada Border,07/01/2003 12:00:00 AM,Truck Containers Empty,12,851
US-Canada Border,07/01/2003 12:00:00 AM,Buses,1,185
US-Canada Border,07/01/2003 12:00:00 AM,Bus Passengers,1,4415
US-Mexico Border,07/01/2003 12:00:00 AM,Trains,0,7
US-Canada Border,07/01/2003 12:00:00 AM,Trains,0,32
US-Mexico Border,07/01/2003 12:00:00 AM,Train Passengers,0,9
US-Canada Border,07/01/2003 12:00:00 AM,Train Passengers,0,316
US-Mexico Border,07/01/2003 12:00:00 AM,Rail Containers Full,0,241
US-Canada Border,07/01/2003 12:00:00 AM,Rail Containers Full,0,1171
US-Mexico Border,07/01/2003 12:00:00 AM,Rail Containers Empty,0,295
US-Canada Border,07/01/2003 12:00:00 AM,Rail Containers Empty,0,443
US-Canada Border,07/01/2003 12:00:00 AM,Pedestrians,0,1771
US-Mexico Border,07/01/2003 12:00:00 AM,Buses,0,275
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,1664054,1909050
US-Mexico Border,07/01/2002 12:00:00 AM,Trucks,124411,130817
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Empty,31276,33813
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicles,27732,127005
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Full,16899,17413
US-Mexico Border,07/01/2002 12:00:00 AM,Pedestrians,11236,65885
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicles,11045,55337
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,2854,104529
US-Canada Border,07/01/2002 12:00:00 AM,Bus Passengers,1627,8260
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Full,1064,7053
US-Mexico Border,07/01/2002 12:00:00 AM,Buses,342,692
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Empty,199,692
US-Canada Border,07/01/2002 12:00:00 AM,Trucks,123,7207
US-Canada Border,07/01/2002 12:00:00 AM,Buses,90,348
US-Mexico Border,07/01/2002 12:00:00 AM,Trains,54,63
US-Canada Border,07/01/2002 12:00:00 AM,Train Passengers,54,530
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Full,43,2675
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Empty,27,1053
US-Canada Border,07/01/2002 12:00:00 AM,Trains,0,36
US-Mexico Border,07/01/2002 12:00:00 AM,Train Passengers,0,15
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Full,0,1341
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Empty,0,343
US-Canada Border,07/01/2002 12:00:00 AM,Pedestrians,0,2760
US-Mexico Border,07/01/2002 12:00:00 AM,Bus Passengers,0,5140
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicles,1410187,1554381
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Full,110968,119586
US-Mexico Border,07/01/2001 12:00:00 AM,Bus Passengers,28974,34539
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Empty,24761,27572
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,8356,286682
US-Mexico Border,07/01/2001 12:00:00 AM,Trucks,7387,12694
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicles,4101,65171
US-Canada Border,07/01/2001 12:00:00 AM,Pedestrians,1354,3356
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,1233,144425
US-Mexico Border,07/01/2001 12:00:00 AM,Pedestrians,298,69453
US-Canada Border,07/01/2001 12:00:00 AM,Buses,204,528
US-Canada Border,07/01/2001 12:00:00 AM,Trains,149,193
US-Canada Border,07/01/2001 12:00:00 AM,Bus Passengers,83,8153
US-Mexico Border,07/01/2001 12:00:00 AM,Buses,73,462
US-Canada Border,07/01/2001 12:00:00 AM,Trucks,19,8031
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Empty,8,1208
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Full,0,2876
US-Mexico Border,07/01/2001 12:00:00 AM,Trains,0,10
US-Mexico Border,07/01/2001 12:00:00 AM,Train Passengers,0,22
US-Canada Border,07/01/2001 12:00:00 AM,Train Passengers,0,537
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Full,0,344
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Full,0,1465
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Empty,0,325
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Empty,0,575
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicles,421022,572957
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,115389,497352
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,16069,214270
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicles,14233,91522
US-Mexico Border,07/01/2000 12:00:00 AM,Pedestrians,9300,85176
US-Canada Border,07/01/2000 12:00:00 AM,Trucks,743,10550
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Full,713,2498
US-Mexico Border,07/01/2000 12:00:00 AM,Trucks,316,6941
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Empty,61,1559
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Full,59,3614
US-Canada Border,07/01/2000 12:00:00 AM,Train Passengers,57,738
US-Mexico Border,07/01/2000 12:00:00 AM,Buses,31,474
US-Canada Border,07/01/2000 12:00:00 AM,Trains,29,81
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Full,16,7823
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Empty,16,2927
US-Canada Border,07/01/2000 12:00:00 AM,Pedestrians,7,1487
US-Canada Border,07/01/2000 12:00:00 AM,Buses,1,404
US-Mexico Border,07/01/2000 12:00:00 AM,Trains,0,11
US-Mexico Border,07/01/2000 12:00:00 AM,Train Passengers,0,28
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Full,0,478
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Empty,0,463
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Empty,0,622
US-Mexico Border,07/01/2000 12:00:00 AM,Bus Passengers,0,5693
US-Canada Border,07/01/2000 12:00:00 AM,Bus Passengers,0,10663
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,2446602,2981383
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,140119,382693
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicles,93146,276675
US-Canada Border,07/01/1999 12:00:00 AM,Bus Passengers,8392,21554
US-Mexico Border,07/01/1999 12:00:00 AM,Trucks,2567,11211
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicles,1842,102209
US-Mexico Border,07/01/1999 12:00:00 AM,Pedestrians,1711,93577
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Full,1516,10886
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Full,885,5724
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Empty,184,722
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Empty,105,4230
US-Canada Border,07/01/1999 12:00:00 AM,Trucks,41,12356
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Empty,40,1621
US-Mexico Border,07/01/1999 12:00:00 AM,Trains,21,33
US-Canada Border,07/01/1999 12:00:00 AM,Trains,0,64
US-Mexico Border,07/01/1999 12:00:00 AM,Train Passengers,0,29
US-Canada Border,07/01/1999 12:00:00 AM,Train Passengers,0,749
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Full,0,456
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Full,0,1917
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Empty,0,653
US-Canada Border,07/01/1999 12:00:00 AM,Pedestrians,0,1910
US-Mexico Border,07/01/1999 12:00:00 AM,Buses,0,620
US-Canada Border,07/01/1999 12:00:00 AM,Buses,0,527
US-Mexico Border,07/01/1999 12:00:00 AM,Bus Passengers,0,7552
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicles,1271154,1540715
US-Mexico Border,07/01/1998 12:00:00 AM,Pedestrians,377033,498805
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,350225,974032
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,63340,402527
US-Mexico Border,07/01/1998 12:00:00 AM,Bus Passengers,13122,24856
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Full,9253,14941
US-Canada Border,07/01/1998 12:00:00 AM,Trucks,935,17070
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Empty,756,2784
US-Mexico Border,07/01/1998 12:00:00 AM,Buses,324,1089
US-Canada Border,07/01/1998 12:00:00 AM,Bus Passengers,248,15476
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Full,107,10771
US-Canada Border,07/01/1998 12:00:00 AM,Trains,63,150
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Empty,57,593
US-Canada Border,07/01/1998 12:00:00 AM,Pedestrians,46,2816
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Empty,37,4635
US-Mexico Border,07/01/1998 12:00:00 AM,Trucks,0,10716
US-Mexico Border,07/01/1998 12:00:00 AM,Trains,0,16
US-Mexico Border,07/01/1998 12:00:00 AM,Train Passengers,0,22
US-Canada Border,07/01/1998 12:00:00 AM,Train Passengers,0,1027
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Full,0,451
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Full,0,2497
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Empty,0,889
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicles,0,133767
US-Canada Border,07/01/1998 12:00:00 AM,Buses,0,670
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicles,1285437,1757903
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,705056,1817487
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicles,149337,392043
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Full,26926,36771
US-Mexico Border,07/01/1997 12:00:00 AM,Pedestrians,25955,216783
US-Mexico Border,07/01/1997 12:00:00 AM,Buses,3878,5236
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,3312,580389
US-Canada Border,07/01/1997 12:00:00 AM,Trucks,2592,28345
US-Mexico Border,07/01/1997 12:00:00 AM,Trucks,1316,18588
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Full,832,2391
US-Mexico Border,07/01/1997 12:00:00 AM,Bus Passengers,598,16169
US-Canada Border,07/01/1997 12:00:00 AM,Bus Passengers,118,25331
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Empty,82,854
US-Canada Border,07/01/1997 12:00:00 AM,Train Passengers,66,2918
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Full,0,6442
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Empty,0,7556
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Empty,0,1350
US-Mexico Border,07/01/1997 12:00:00 AM,Trains,0,43
US-Canada Border,07/01/1997 12:00:00 AM,Trains,0,154
US-Mexico Border,07/01/1997 12:00:00 AM,Train Passengers,0,54
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Full,0,974
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Empty,0,871
US-Canada Border,07/01/1997 12:00:00 AM,Pedestrians,0,2732
US-Canada Border,07/01/1997 12:00:00 AM,Buses,0,1033
US-Mexico Border,07/01/1996 12:00:00 AM,Pedestrians,369751,891067
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,217601,2715400
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicles,35333,926655
US-Mexico Border,07/01/1996 12:00:00 AM,Bus Passengers,34061,64594
US-Mexico Border,07/01/1996 12:00:00 AM,Trucks,4857,50662
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,3052,1872214
US-Canada Border,07/01/1996 12:00:00 AM,Trucks,1500,74819
US-Canada Border,07/01/1996 12:00:00 AM,Buses,1442,4991
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Empty,1441,22671
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicles,1089,722761
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Full,510,24209
US-Canada Border,07/01/1996 12:00:00 AM,Bus Passengers,128,78886
US-Mexico Border,07/01/1996 12:00:00 AM,Buses,77,1900
US-Canada Border,07/01/1996 12:00:00 AM,Trains,21,458
US-Canada Border,07/01/1996 12:00:00 AM,Pedestrians,14,20102
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Full,0,17546
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Empty,0,2854
US-Mexico Border,07/01/1996 12:00:00 AM,Trains,0,91
US-Mexico Border,07/01/1996 12:00:00 AM,Train Passengers,0,110
US-Canada Border,07/01/1996 12:00:00 AM,Train Passengers,0,4943
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Full,0,1061
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Full,0,4053
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Empty,0,1117
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Empty,0,1721
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,238721,280816
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,123068,145302
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,24211,24458
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,19459,38773
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,16303,16537
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,14898,28943
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,10383,20501
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,907,2809
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,693,1192
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,605,610
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,390,395
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,298,760
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,290,2020
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,246,469
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,217,1640
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,190,819
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,133,1439
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,117,164
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,98,644
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,63,783
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,30,187
US-Canada Border,06/01/2019 12:00:00 AM,Trains,10,18
US-Canada Border,06/01/2019 12:00:00 AM,Buses,3,35
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,2,239
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,299069,323843
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,89833,134412
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,89776,91464
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,61242,74697
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,49036,49768
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,22689,22938
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,14312,16332
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,14109,14679
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,13811,15715
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,7853,8069
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,7624,8440
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,6884,25145
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,4360,4742
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,1791,2336
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,1524,11050
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,1156,2600
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,640,804
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,574,818
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,360,592
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,291,296
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,256,260
US-Canada Border,06/01/2018 12:00:00 AM,Trains,54,62
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,35,88
US-Canada Border,06/01/2018 12:00:00 AM,Buses,4,39
US-Mexico Border,06/01/2017 12:00:00 AM,Pedestrians,227148,240699
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicles,224200,249665
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Full,139630,141613
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,93887,139901
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Full,15230,15465
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Empty,15027,15265
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Empty,14537,15203
US-Canada Border,06/01/2017 12:00:00 AM,Trucks,7839,9864
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicles,6948,16597
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,1749,19218
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Full,987,1526
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Empty,808,1066
US-Mexico Border,06/01/2017 12:00:00 AM,Trucks,709,2762
US-Canada Border,06/01/2017 12:00:00 AM,Bus Passengers,302,1124
US-Mexico Border,06/01/2017 12:00:00 AM,Buses,242,299
US-Canada Border,06/01/2017 12:00:00 AM,Pedestrians,154,356
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Empty,143,745
US-Canada Border,06/01/2017 12:00:00 AM,Trains,70,78
US-Canada Border,06/01/2017 12:00:00 AM,Buses,67,108
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Full,55,1492
US-Canada Border,06/01/2017 12:00:00 AM,Train Passengers,48,204
US-Mexico Border,06/01/2017 12:00:00 AM,Trains,47,51
US-Mexico Border,06/01/2017 12:00:00 AM,Train Passengers,36,40
US-Mexico Border,06/01/2017 12:00:00 AM,Bus Passengers,16,532
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicles,443297,455484
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicles,249600,275757
US-Mexico Border,06/01/2016 12:00:00 AM,Pedestrians,170040,184060
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,31767,50600
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Full,8454,9927
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,3135,49333
US-Mexico Border,06/01/2016 12:00:00 AM,Trucks,2667,4704
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Empty,1680,2270
US-Mexico Border,06/01/2016 12:00:00 AM,Bus Passengers,1536,2286
US-Canada Border,06/01/2016 12:00:00 AM,Trucks,969,3084
US-Canada Border,06/01/2016 12:00:00 AM,Pedestrians,282,500
